branch,beta,first_order_error,higher_order_error,first_normalized,higher_normalized,higher_order
minus,0.02,0.0003040215432530413,2.2269928716456278e-05,0.7600538581326033,2.7837410895570343,2
zero,0.02,3.7554244943296955e-07,4.6949777399163395e-11,0.04694280617912119,0.01467180543723856,3
plus,0.02,0.0003040215259693113,2.2269957998144463e-05,0.7600538149232783,2.7837447497680574,2
minus,0.05,0.002070933347907866,0.00034983506241204054,0.8283733391631464,2.798680499296324,2
zero,0.05,5.869500033766489e-06,1.746080439957165e-09,0.0469560002701319,0.005587457407862926,3
plus,0.05,0.0020709333026933674,0.00034983514894415535,0.8283733210773468,2.7986811915532424,2
minus,0.1,0.009496709131923575,0.002819007278023866,0.9496709131923573,2.8190072780238653,2
zero,0.1,4.699665201816222e-05,5.5717234784258274e-08,0.04699665201816221,0.005571723478425826,3
plus,0.1,0.009496709048135488,0.002819007406327678,0.9496709048135485,2.8190074063276773,2
