N,branch,u_min,u_max,residual,newton_iterations
128,minus,-2.16513148039172,-1.2619094614142152,4.2732484217822275e-13,3
128,zero,-0.098862134195965,0.09886213419596507,3.968358974759667e-11,2
128,plus,1.2619094614142101,2.1651314803917217,4.526379271396763e-13,3
256,minus,-2.165013271806263,-1.26197074131142,1.6827268745078783e-12,3
256,zero,-0.09887866480797865,0.09887866480797831,2.566669099479668e-12,2
256,plus,1.2619707413114145,2.1650132718062727,1.536673566171487e-12,3
512,minus,-2.1649892645200883,-1.262015541631533,8.515677052400861e-11,2
512,zero,-0.09887660487055679,0.09887660487055693,4.645728246543968e-13,2
512,plus,1.262015541631522,2.164989264520108,8.393105654924682e-11,2
